VENDOR_KEY,RETAILER_KEY,ITEM_KEY,STORE_KEY,PERIOD_KEY,MODULAR_KEY,REQUEST_DATE,STORE_SPECIFIC_RETAIL,POS_SALES,POS_QTY,POS_COST,MAX_SHELF_QTY,GROSS_SHIP_QTY,GROSS_SHIP_RETAIL,NET_SHIP_QTY,NET_SHIP_RETAIL,AVG_TRAITED_STORE_ITEM_COMB,AVG_VALID_STORE_ITEM_COMB,AVG_STR_DD_RATE_OF_SALE,AVG_IN_STOCK,AVG_REPL_IN_STOCK,HIST_ON_HAND_QTY,SI_MUMD_QTY,SI_TOTAL_MUMD,NUM_OF_BASKET_OCCURENCES,BASKET_SCAN_COUNT,BASKET_SALES,BASKET_GM,REPLENISHEDFLAG
308,1010,6264,622,20170114,4853,2017-02-16,9.84,68.88,7,,6,8,78.72,8,78.72,1,1,,1,100,12,0,0,7,129,771.45,771.45,1
308,1010,6264,626,20170114,4692,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,8,0,0,0,0,0,0,1
308,1010,6264,629,20170114,4869,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,3,0,0,1,34,224.47,224.47,1
308,1010,6264,630,20170114,4920,2017-02-16,9.84,39.36,4,,6,0,0,0,0,1,1,,1,100,5,0,0,4,85,316.74,316.74,1
308,1010,6264,632,20170114,4844,2017-02-16,9.84,29.52,3,,6,4,39.36,4,39.36,1,1,,1,100,2,0,0,3,122,479.53,479.53,1
308,1010,6264,637,20170114,4739,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,8,0,0,0,0,0,0,1
308,1010,6264,640,20170114,5486,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,8,0,0,2,33,187.46,187.46,1
308,1010,6264,641,20170114,5144,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,8,0,0,0,0,0,0,1
308,1010,6264,642,20170114,4743,2017-02-16,9.84,29.52,3,,6,4,39.36,4,39.36,1,1,,1,100,4,0,0,3,87,318.92,318.92,1
308,1010,6264,643,20170114,4844,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,5,0,0,1,20,64.49,64.49,1
308,1010,6264,661,20170114,5290,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,2,0,0,0,0,0,0,1
308,1010,6264,669,20170114,5279,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,671,20170114,4998,2017-02-16,9.84,19.68,2,,6,4,39.36,4,39.36,1,1,,1,100,4,0,0,2,3,24.82,24.82,1
308,1010,6264,672,20170114,5295,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,10,0,0,0,0,0,0,1
308,1010,6264,688,20170114,4983,2017-02-16,9.84,59.04,6,,6,8,78.72,8,78.72,1,1,,1,100,6,0,0,6,98,422.08,422.08,1
308,1010,6264,690,20170114,5500,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,1,75,337.1,337.1,1
308,1010,6264,691,20170114,5288,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,3,0,0,1,11,65.3,65.3,1
308,1010,6264,693,20170114,4743,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,694,20170114,5283,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,4,0,0,1,7,43.41,43.41,1
308,1010,6264,697,20170114,4984,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,6,0,0,2,52,254.68,254.68,1
308,1010,6264,705,20170114,5007,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,4,0,0,2,39,156.33,156.33,1
308,1010,6264,707,20170114,4648,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,5,0,0,1,34,143.52,143.52,1
308,1010,6264,711,20170114,5481,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,4,0,0,1,48,217.4,217.4,1
308,1010,6264,718,20170114,4842,2017-02-16,9.84,0,0,,6,12,118.08,12,118.08,1,1,,1,100,12,0,0,0,0,0,0,1
308,1010,6264,721,20170114,4922,2017-02-16,9.84,19.68,2,,6,4,39.36,4,39.36,1,1,,1,100,5,0,0,2,126,410.07,410.07,1
308,1010,6264,723,20170114,4878,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,4,0,0,1,41,140.56,140.56,1
308,1010,6264,726,20170114,4992,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,4,0,0,1,14,61.85,61.85,1
308,1010,6264,728,20170114,5011,2017-02-16,9.84,29.52,3,,6,0,0,0,0,1,1,,1,100,1,0,0,3,98,494.29,494.29,1
308,1010,6264,729,20170114,4998,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,5,0,0,1,44,202.31,202.31,1
308,1010,6264,742,20170114,4998,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,9,0,0,1,4,14.64,14.64,1
308,1010,6264,744,20170114,5012,2017-02-16,9.84,39.36,4,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,4,42,380.16,380.16,1
308,1010,6264,750,20170114,4998,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,5,0,0,1,33,114.4,114.4,1
308,1010,6264,756,20170114,4992,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,3,0,0,0,0,0,0,1
308,1010,6264,769,20170114,4918,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,780,20170114,4930,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,7,0,0,1,57,187.48,187.48,1
308,1010,6264,787,20170114,4750,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,5,0,0,1,19,146.03,146.03,1
308,1010,6264,793,20170114,5286,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,2,0,0,2,17,113.61,113.61,1
308,1010,6264,796,20170114,5275,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,798,20170114,5285,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,4,0,0,1,3,20.42,20.42,1
308,1010,6264,799,20170114,5136,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,5,0,0,2,56,206.78,206.78,1
308,1010,6264,801,20170114,4908,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,7,0,0,1,60,192.2,192.2,1
308,1010,6264,805,20170114,5475,2017-02-16,9.84,-9.84,-1,,6,0,0,0,0,1,1,,1,100,6,0,0,1,-2,-19.84,-19.84,1
308,1010,6264,811,20170114,4792,2017-02-16,9.84,29.52,3,,6,4,39.36,4,39.36,1,1,,1,100,4,0,0,3,77,378.42,378.42,1
308,1010,6264,815,20170114,4873,2017-02-16,9.84,29.52,3,,6,0,0,0,0,1,1,,1,100,5,0,0,3,30,121.31,121.31,1
308,1010,6264,819,20170114,4918,2017-02-16,9.84,19.68,2,,6,8,78.72,8,78.72,1,1,,1,100,10,0,0,2,64,267.41,267.41,1
308,1010,6264,823,20170114,4992,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,824,20170114,5472,2017-02-16,9.84,29.52,3,,6,0,0,0,0,1,1,,1,100,8,0,0,3,34,127.3,127.3,1
308,1010,6264,829,20170114,5463,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,833,20170114,4793,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,7,0,0,1,3,22.46,22.46,1
308,1010,6264,835,20170114,4914,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,6,0,0,1,12,36.78,36.78,1
308,1010,6264,838,20170114,4992,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,4,0,0,2,38,299,299,1
308,1010,6264,842,20170114,4996,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,7,0,0,1,84,328.08,328.08,1
308,1010,6264,843,20170114,4869,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,5,0,0,1,5,18.66,18.66,1
308,1010,6264,844,20170114,5485,2017-02-16,9.84,29.52,3,,6,0,0,0,0,1,1,,1,100,4,0,0,3,89,484.68,484.68,1
308,1010,6264,846,20170114,5285,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,2,0,0,1,14,78.68,78.68,1
308,1010,6264,849,20170114,5278,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,1,0,0,2,44,185.53,185.53,1
308,1010,6264,857,20170114,4983,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,859,20170114,4873,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,0,0,0,0,1
308,1010,6264,862,20170114,4854,2017-02-16,9.84,29.52,3,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,5,124,649.66,649.66,1
308,1010,6264,871,20170114,4649,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,884,20170114,4992,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,889,20170114,4871,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,892,20170114,5285,2017-02-16,9.84,49.2,5,,6,4,39.36,4,39.36,1,1,,1,100,6,0,0,5,145,1002.07,1002.07,1
308,1010,6264,893,20170114,4720,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,7,0,0,0,0,0,0,1
308,1010,6264,894,20170114,5009,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,5,0,0,2,43,196.98,196.98,1
308,1010,6264,896,20170114,5326,2017-02-16,9.84,19.68,2,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,2,23,131.93,131.93,1
308,1010,6264,899,20170114,5034,2017-02-16,9.84,29.52,3,,6,4,39.36,4,39.36,1,1,,1,100,7,0,0,3,122,550.7,550.7,1
