TransWeek,LocationNbr,ProductNbr,ClearanceSales,ClearanceUnits,CompSales,CompUnits,PromoSales,PromoUnits,RegularSales,RegularUnits,TotalSales,TotalUnits,CircularSales,CircularUnits,DiscontinuedSales,DiscontinuedUnits,TCPSales,TCPUnits
2014-01-18,230,231150551,0.0,0,16.75,5,0.0,0,16.75,5,16.75,5,0.0,0,0.0,0,0.0,0
2014-01-18,289,284030077,0.0,0,5.3299999,2,0.0,0,5.3299999,2,5.3299999,2,0.0,0,0.0,0,0.0,0
2014-01-18,1819,231101899,0.0,0,32.139999,6,0.0,0,32.139999,6,32.139999,6,0.0,0,0.0,0,0.0,0
2014-01-18,2831,245040243,0.0,0,0.0,0,0.0,0,4.9899998,1,4.9899998,1,0.0,0,0.0,0,0.0,0
2014-01-18,1912,231102175,0.0,0,31.18,5,0.0,0,31.18,5,31.18,5,0.0,0,0.0,0,0.0,0
2014-01-18,1883,231150593,0.0,0,6.8099999,2,0.0,0,6.8099999,2,6.8099999,2,0.0,0,0.0,0,0.0,0
2014-01-18,1045,270020736,0.0,0,5.9899998,1,0.0,0,5.9899998,1,5.9899998,1,0.0,0,0.0,0,0.0,0
2014-01-18,245,212180592,0.0,0,1.4400001,1,1.4400001,1,0.0,0,1.4400001,1,0.0,0,0.0,0,1.4400001,1
2014-01-18,2345,270021288,0.0,0,4.3800001,2,0.0,0,4.3800001,2,4.3800001,2,0.0,0,0.0,0,0.0,0
2014-01-18,1118,212261577,0.0,0,3.4400001,1,0.0,0,3.4400001,1,3.4400001,1,0.0,0,0.0,0,0.0,0
2014-01-18,2178,212060110,0.0,0,2.27,1,0.0,0,2.27,1,2.27,1,0.0,0,0.0,0,0.0,0
2014-01-18,1129,212040231,0.0,0,1.48,2,1.48,2,0.0,0,1.48,2,0.0,0,0.0,0,0.0,0
2014-01-18,968,212080230,0.0,0,9.3999996,3,0.0,0,9.3999996,3,9.3999996,3,0.0,0,0.0,0,0.0,0
2014-01-18,1468,210110264,0.0,0,21.799999,14,0.0,0,21.799999,14,21.799999,14,0.0,0,0.0,0,0.0,0
2014-01-18,779,245070538,0.0,0,25.17,3,0.0,0,25.17,3,25.17,3,0.0,0,0.0,0,0.0,0
2014-01-18,52,284110678,0.0,0,14.17,3,0.0,0,14.17,3,14.17,3,0.0,0,0.0,0,0.0,0
2014-01-18,1056,212140895,0.0,0,7.5900002,3,7.5900002,3,0.0,0,7.5900002,3,0.0,0,0.0,0,7.5900002,3
2014-01-18,2289,270021082,0.0,0,2.46,1,2.46,1,0.0,0,2.46,1,2.46,1,0.0,0,0.0,0
2014-01-18,1258,270060783,0.0,0,25.92,5,4.7600002,1,21.16,4,25.92,5,0.0,0,0.0,0,0.0,0
2014-01-18,2429,245090170,0.0,0,91.199997,6,91.199997,6,0.0,0,91.199997,6,0.0,0,0.0,0,91.199997,6
2014-01-18,1211,270050051,0.0,0,24.870001,13,24.870001,13,0.0,0,24.870001,13,0.0,0,0.0,0,24.870001,13
2014-01-18,1349,270050225,0.0,0,53.639999,11,53.639999,11,0.0,0,53.639999,11,0.0,0,0.0,0,53.639999,11
2014-01-18,2613,212220406,0.0,0,0.0,0,19.110001,14,0.0,0,19.110001,14,0.0,0,0.0,0,19.110001,14
2014-01-18,1944,212220420,0.0,0,8.3900003,3,0.0,0,8.3900003,3,8.3900003,3,0.0,0,0.0,0,0.0,0
2014-01-18,1241,270020912,0.0,0,10.32,6,10.32,6,0.0,0,10.32,6,10.32,6,0.0,0,0.0,0
2014-01-18,953,253060117,0.0,0,33.580002,2,0.0,0,33.580002,2,33.580002,2,0.0,0,0.0,0,0.0,0
2014-01-18,532,212340105,0.0,0,10.86,6,0.0,0,10.86,6,10.86,6,0.0,0,0.0,0,0.0,0
2014-01-18,677,231101400,0.0,0,33.139999,4,0.0,0,33.139999,4,33.139999,4,0.0,0,0.0,0,0.0,0
2014-01-18,176,245070973,0.0,0,12.95,5,12.95,5,0.0,0,12.95,5,12.95,5,0.0,0,0.0,0
2014-01-18,1951,212260754,0.0,0,4.52,5,4.52,5,0.0,0,4.52,5,0.0,0,0.0,0,4.52,5
2014-01-18,1368,212080857,0.0,0,1.52,1,0.0,0,1.52,1,1.52,1,0.0,0,0.0,0,0.0,0
2014-01-18,1955,231030507,0.0,0,8.9700003,3,0.0,0,8.9700003,3,8.9700003,3,0.0,0,0.0,0,0.0,0
2014-01-18,1104,284100336,0.0,0,2.3900001,1,0.0,0,2.3900001,1,2.3900001,1,0.0,0,0.0,0,0.0,0
