GEO,Description,Tag,RCategory,WeekEnding,Dollars,Units,BaseDollars,BaseUnits,PACV_FeatAndDisp,PACV_FeatWODisp,PACV_DispWOFeat,PACV_Discount,Dollars_FeatAndDisp,Dollars_Feature,Dollars_Display,Dollars_TPR,Units_FeatAndDisp,Units_Feature,Units_Display,Units_TPR,Units_EQ,BaseUnits_Feature,BaseDollars_Feature,BaseUnits_Display,BaseDollars_Display,BaseUnits_FeatAndDisp,BaseDollars_FeatAndDisp,BaseUnits_TPR,BaseDollars_TPR,EQUnitConversion,BaseUnits_EQ,Units_EQ_Feature,Units_EQ_Display,Units_EQ_FeatAndDisp,Units_EQ_TPR,BaseUnits_EQ_Feature,BaseUnits_EQ_Display,BaseUnits_EQ_FeatAndDisp,BaseUnits_EQ_TPR,Units_AnyPromo,Dollars_AnyPromo,BaseDollars_AnyPromo,BaseUnits_AnyPromo,Units_EQ_AnyPromo,BaseUnits_EQ_AnyPromo,Units_NoPromo,Dollars_NoPromo,BaseDollars_NoPromo,BaseUnits_NoPromo,Units_EQ_NoPromo,BaseUnits_EQ_NoPromo,Units_FeatAndOrDisp,Dollars_FeatAndOrDisp,BaseDollars_FeatAndOrDisp,BaseUnits_FeatAndOrDisp,Units_EQ_FeatAndOrDisp,BaseUnits_EQ_FeatAndOrDisp,ACV
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR DOVE MEN + CARE 25 OZ,NS.252432,DAILY HAIR CARE,1/14/2017,7937,1330,6714,1107,0,0,2,8,0,0,180,685,0,0,31,133,2253,0,0,22,132,0,0,74,447,1.693984962,1875.241353,0,52.51353383,0,225.3,0,37.26766917,0,125.3548872,164,865,579,96,277.8135338,162.6225564,1166,7072,6135,1011,1975.186466,1712.618797,31,180,132,22,52.51353383,37.26766917,25
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR DOVE MEN + CARE 25 OZ,NS.252432,DAILY HAIR CARE,1/21/2017,8296,1391,8908,1475,0,0,2,4,0,0,270,761,0,0,45,143,2355,0,0,59,351,0,0,102,612,1.6930266,2497.214234,0,76.18619698,0,242.1028037,0,99.88856937,0,172.6887132,188,1031,963,161,318.2890007,272.5772825,1203,7265,7945,1314,2036.710999,2224.636952,45,270,351,59,76.18619698,99.88856937,26
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR DOVE MEN + CARE 25 OZ,NS.252432,DAILY HAIR CARE,1/28/2017,7317,1224,7585,1253,0,0,2,1,0,0,39,81,0,0,6,15,2073,0,0,9,52,0,0,19,120,1.693627451,2122.115196,0,10.16176471,0,25.40441176,0,15.24264706,0,32.17892157,21,120,172,28,35.56617647,47.42156863,1203,7197,7413,1225,2037.433824,2074.693627,6,39,52,9,10.16176471,15.24264706,26
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE GREEN SBBR 12 OZ,NS.244816,DAILY HAIR CARE,1/7/2017,13740,6434,8355,3599,1,13,1,3,470,7288,515,549,235,3644,175,242,5405,1231,2897,122,348,107,246,60,161,0.840068387,3023.406124,3061.209201,147.0119677,197.4160709,203.2965496,1034.124184,102.4883432,89.88731738,50.4041032,4296,8822,3652,1520,3608.933789,1276.903948,2138,4918,4703,2079,1796.066211,1746.502176,4054,8273,3491,1460,3405.63724,1226.499845,40
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE GREEN SBBR 12 OZ,NS.244816,DAILY HAIR CARE,1/14/2017,9152,3908,8347,3540,0,4,1,6,0,294,734,692,0,128,250,408,3283,300,724,116,341,0,0,257,528,0.840071648,2973.853634,107.5291709,210.017912,0,342.7492323,252.0214944,97.44831116,0,215.8984135,786,1720,1593,673,660.2963153,565.368219,3122,7432,6754,2867,2622.703685,2408.485415,378,1028,1065,416,317.5470829,349.4698055,40
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE GREEN SBBR 12 OZ,NS.244816,DAILY HAIR CARE,1/21/2017,11858,4860,10046,4083,0,0,2,9,0,2,1151,865,0,1,396,527,4083,1,2,156,438,0,0,242,523,0.840123457,3430.224074,0.840123457,332.6888889,0,442.7450617,0.840123457,131.0592593,0,203.3098765,924,2018,963,399,776.2740741,335.2092593,3936,9840,9083,3684,3306.725926,3095.014815,397,1153,440,157,333.5290123,131.8993827,39
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE GREEN SBBR 12 OZ,NS.244816,DAILY HAIR CARE,1/28/2017,15037,6897,8086,3249,0,14,2,7,0,8493,1143,267,0,4266,398,177,5793,1060,2619,137,396,0,0,111,214,0.839930405,2728.933884,3583.143106,334.292301,0,148.6676816,890.3262288,115.0704654,0,93.2322749,4841,9903,3229,1308,4066.103088,1098.628969,2056,5134,4857,1941,1726.896912,1630.304915,4664,9636,3015,1197,3917.435407,1005.396694,39
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE GREEN SBBR 28 OZ,NS.253392,DAILY HAIR CARE,1/7/2017,30146,9544,22311,6180,4,28,4,15,2422,14507,805,3109,776,4744,238,878,17816,2275,8998,372,1178,183,740,473,1905,1.866722548,11536.34535,8855.731769,444.2799665,1448.576697,1638.982397,4246.793797,694.4207879,341.6102263,882.9597653,6636,20843,12821,3303,12387.57083,6165.784577,2908,9303,9490,2877,5428.42917,5370.560771,5758,17734,10916,2830,10748.58843,5282.824811,71
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE GREEN SBBR 28 OZ,NS.253392,DAILY HAIR CARE,1/14/2017,32388,9832,25146,6833,0,6,8,15,0,7286,2979,5407,0,3005,833,1515,18352,1077,3255,647,2402,0,0,783,3123,1.866558177,12754.19203,5609.007323,1554.842962,0,2827.835639,2010.283157,1207.663141,0,1461.515053,5353,15672,8780,2507,9991.685924,4679.461351,4479,16716,16366,4326,8360.314076,8074.730675,3838,10265,5657,1724,7163.850285,3217.946298,71
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE GREEN SBBR 28 OZ,NS.253392,DAILY HAIR CARE,1/21/2017,30237,8495,26071,7094,0,8,9,17,0,4167,2613,5457,0,1067,677,1522,15858,732,3484,644,2443,0,0,669,2615,1.866745144,13242.69005,1991.817069,1263.786463,0,2841.186109,1366.457446,1202.183873,0,1248.852501,3266,12237,8542,2045,6096.789641,3817.49382,5229,18000,17529,5049,9761.210359,9425.196233,1744,6780,5927,1376,3255.603531,2568.641318,72
